,manufacturer,main_type,built_year,first_registration_date,has_all_wheel_drive,horsepower,handover_key_count,length,width,height,mileage,kw,predict,evaluation_datetime,fuel,gear,ac,gps,color
1028,Honda,A3,  2001_year ,4/4/2001,,123,2,3627,2321,1365,126916,91,,10/23/2018 10:49,Benzin,Manual,Auto,,red
1029,Audi,Passat,  2008_year ,1/15/2009,,86,2,3721,2364,1481,35822,63,,8/9/2018 16:51,Benzin,Manual,Manual,,orange
1030,BMW,Megane,  2013_year ,5/10/2013,,132,2,3983,2223,1452,38004,97,,7/27/2018 15:26,Benzin,Manual,Auto,,white
1031,Kia,A4,  2012_year ,6/26/2012,,125,2,3562,2280,1510,37522,92,,10/31/2018 10:43,Benzin,Manual,Auto,,purple
1032,BMW,Polo,  2010_year ,8/31/2010,,139,2,3750,2170,1621,62842,102,,6/2/2018 10:59,Diesel,Auto_or_Hybrid,Auto,,silver
1033,Audi,RAV 4,  2012_year ,8/1/2012,,129,2,3968,2021,1710,55110,95,,6/29/2018 15:15,Diesel,Manual,Auto,Big,red
1034,Land Rover,A5,  2009_year ,6/12/2009,,171,2,3743,2328,1436,201736,126,,7/26/2018 10:08,Diesel,Auto_or_Hybrid,Auto,Big,silver
1035,BMW,Polo,  2009_year ,12/11/2009,,116,2,3670,2108,1621,79087,85,,4/11/2018 13:07,Benzin,Auto_or_Hybrid,Auto,,brown
1036,Seat,X5,  2012_year ,10/26/2012,1,243,1,3756,2064,1713,160808,179,,7/23/2018 16:37,Diesel,Auto_or_Hybrid,Auto,Big,brown
1037,Toyota,S 60,  2005_year ,9/2/2005,,143,2,3756,2184,1457,157574,105,,6/21/2018 16:02,Diesel,Manual,Auto,,silver
1038,Citroen,207,  2005_year ,10/20/2005,,203,2,3643,2213,1491,147837,149,,6/21/2018 18:09,Diesel,Manual,Auto,,brown
1039,BMW,i30,  2005_year ,1/9/2006,,105,1,3740,2202,1833,290305,77,,7/24/2018 19:36,Diesel,Manual,Manual,,purple
1040,Citroen,M-Klasse,  2012_year ,10/31/2012,,197,2,4116,1779,1421,36230,145,,5/19/2018 12:45,Diesel,Auto_or_Hybrid,Auto,Big,brown
1041,BMW,Twingo,  2011_year ,4/7/2011,,168,2,3856,2267,1686,89630,123,,7/4/2018 15:48,Benzin,Manual,Manual,,red
1042,Citroen,500,  2004_year ,4/21/2004,,148,2,3670,2216,1409,432735,109,,6/19/2018 10:31,Diesel,Manual,Auto,Small,purple
1043,Land Rover,A5,  2007_year ,2/21/2008,,149,2,3715,2222,1427,261472,109,,10/19/2018 17:35,Diesel,Manual,Auto,Big,red
1044,BMW,i30,  2009_year ,8/5/2009,,120,2,3635,2017,1833,121969,88,,6/9/2018 12:54,Diesel,Manual,,,purple
1045,Audi,Avensis,  2007_year ,6/15/2007,,112,2,3628,1985,1548,223683,83,,7/16/2018 9:45,Diesel,Manual,Auto,,red
1046,Fiat,5er,  2013_year ,4/30/2013,,107,2,4106,1901,1557,50936,79,,6/10/2018 14:54,Benzin,Auto_or_Hybrid,Manual,,white
1047,Kia,Evoque,  2009_year ,5/13/2009,,85,2,3573,2296,1488,149917,63,,5/24/2018 14:33,Benzin,Manual,Manual,,purple
1048,Citroen,B-Klasse,  2005_year ,1/3/2006,1,204,1,3651,1988,1715,235334,150,,5/8/2018 15:41,Diesel,Auto_or_Hybrid,Auto,Big,red
1049,Land Rover,C-Max,  2008_year ,5/27/2008,,127,1,3528,2349,1423,141757,93,,9/16/2018 9:35,Diesel,Manual,Auto,,brown
1050,Audi,RAV 4,  2009_year ,12/16/2009,1,116,2,3916,2002,1710,77621,86,,4/11/2018 9:32,Diesel,Manual,Auto,,brown
1051,BMW,5,  2007_year ,7/20/2007,,120,2,3509,2053,1635,156067,88,,6/6/2018 8:21,Benzin,Manual,Auto,Big,brown
1052,Kia,A4,  2001_year ,11/29/2001,,92,2,3632,2089,1425,58699,67,,5/6/2018 12:23,Benzin,Auto_or_Hybrid,Manual,,brown
1053,Land Rover,A5,  2006_year ,2/10/2006,1,145,2,3688,1937,1428,143049,107,,6/7/2018 10:34,Benzin,Manual,Auto,Big,brown
1054,Land Rover,XC 60,  2008_year ,4/7/2008,1,322,2,3771,2211,1737,177191,238,,5/2/2018 18:54,Diesel,Auto_or_Hybrid,Auto,Big,silver
1055,BMW,Megane,  2014_year ,4/11/2014,,108,2,3914,2232,1481,117717,79,,7/25/2018 19:53,Benzin,Auto_or_Hybrid,Auto,Big,black
1056,Kia,Evoque,  2003_year ,11/24/2003,,59,2,3405,2294,1440,171111,43,,5/1/2018 14:49,Benzin,Manual,Auto,,brown
1057,Nissan,Superb,  2004_year ,3/31/2004,1,129,2,3678,2054,1710,227422,94,,7/28/2018 12:35,Benzin,Auto_or_Hybrid,Auto,,silver
1058,Fiat,5er,  2006_year ,11/20/2006,,152,2,3730,2104,1603,200831,112,,9/16/2018 9:26,Diesel,Manual,Manual,,brown
1059,Seat,Leon,  2003_year ,8/15/2003,1,179,2,3757,2184,1743,212779,131,,10/1/2018 11:09,Benzin,Auto_or_Hybrid,Manual,,purple
1060,Land Rover,Clio,  2014_year ,12/19/2014,1,264,2,4049,2080,1391,72327,194,,9/28/2018 14:14,Diesel,Auto_or_Hybrid,Auto,Big,red
1061,Dacia,Kuga,  2012_year ,6/19/2012,,190,2,3933,2004,1451,142490,140,,7/11/2018 14:14,Diesel,Manual,Auto,Big,white
1062,BMW,Insignia,  2012_year ,8/9/2012,,137,2,3848,2204,1516,142044,101,,5/6/2018 13:00,Diesel,Auto_or_Hybrid,Auto,Big,red
1063,Seat,Grande Punto,  2007_year ,1/20/2009,,187,2,3857,2123,1604,187000,137,,6/3/2018 10:11,Diesel,Auto_or_Hybrid,Auto,,brown
1064,Audi,Passat,  2006_year ,3/27/2006,,149,2,3643,2100,1430,127570,109,,7/4/2018 10:55,Benzin,Manual,Auto,,purple
1065,Citroen,207,  2011_year ,9/8/2011,,303,2,4043,1965,1462,101546,222,,7/26/2018 10:25,Diesel,Auto_or_Hybrid,Auto,Big,brown
1066,BMW,Touareg,  2014_year ,2/27/2014,,156,2,4512,1685,1970,97641,115,,5/6/2018 15:36,Diesel,Auto_or_Hybrid,Auto,Big,red
1067,Citroen,207,  2010_year ,3/12/2010,1,263,2,3894,2259,1491,254622,193,,9/7/2018 9:12,Diesel,Auto_or_Hybrid,Auto,Big,brown
1068,Nissan,Superb,  2004_year ,5/19/2004,1,143,2,3617,2083,1710,156034,105,,7/12/2018 13:29,Benzin,Manual,Auto,,brown
1069,BMW,Q5,  2010_year ,5/7/2010,,109,2,3600,2265,1504,181766,80,,10/16/2018 10:52,Diesel,Auto_or_Hybrid,Auto,,purple
1070,Audi,1er,  2008_year ,11/28/2008,,124,2,3582,2014,1500,157434,90,,6/10/2018 13:42,Diesel,Manual,Manual,,brown
1071,Land Rover,Clio,  2009_year ,5/12/2009,,239,2,3885,2217,1383,66367,176,,9/14/2018 9:20,Benzin,Auto_or_Hybrid,Auto,Big,red
1072,Audi,Passat,  2011_year ,7/11/2011,,60,2,3562,2059,1481,87422,44,,8/26/2018 9:50,Benzin,Manual,Manual,,purple
1073,Audi,1er,  2008_year ,6/27/2008,,222,2,3637,2308,1447,150145,164,,6/26/2018 16:31,Benzin,Manual,Auto,Big,red
1074,Opel,Ibiza,  2013_year ,6/21/2013,,152,2,3914,2244,1523,118666,112,,8/21/2018 12:09,Diesel,Manual,Auto,Big,white
1075,Dacia,Kuga,  2006_year ,7/19/2006,,119,2,3452,2420,1455,230683,88,,4/4/2018 11:25,Diesel,Manual,Manual,,purple
1076,Smart,Punto,  2005_year ,11/15/2005,,80,2,3681,2197,1416,137872,59,,5/12/2018 14:26,Benzin,Manual,Manual,,brown
1077,Fiat,C5,  2010_year ,9/10/2010,,189,2,3783,2134,1515,122565,138,,5/26/2018 16:13,Benzin,Auto_or_Hybrid,Auto,Big,brown
1078,Fiat,5er,  2006_year ,11/20/2006,,126,2,3666,2088,1603,78705,93,,4/19/2018 13:24,Benzin,Auto_or_Hybrid,Auto,,red
1079,Dacia,Yeti,  2015_year ,11/24/2015,,103,2,3710,1927,1793,21252,76,,8/13/2018 9:00,Benzin,Manual,Manual,,white
1080,Land Rover,A5,  2003_year ,4/23/2003,,126,2,3503,2201,1428,182755,93,,5/22/2018 15:32,Benzin,Manual,Auto,,silver
1081,Audi,Passat,  2007_year ,10/1/2007,,78,1,3682,2077,1437,133183,57,,10/15/2018 16:43,Diesel,Manual,,,black
1082,BMW,5,  2005_year ,9/23/2005,,130,2,3765,2414,1652,190790,95,,4/28/2018 18:10,Benzin,Manual,Auto,Small,black
1083,Dacia,T5,  2014_year ,10/1/2014,,174,2,3828,1864,1529,107343,128,,9/3/2018 16:52,Diesel,Auto_or_Hybrid,Auto,Big,white
1084,BMW,V 50,  2004_year ,1/18/2005,1,153,2,3632,2229,1726,236556,112,,9/24/2018 15:57,Diesel,Auto_or_Hybrid,Auto,Big,brown
1085,Land Rover,C-Max,  2010_year ,8/26/2010,,94,2,3721,2193,1423,139456,69,,4/11/2018 10:23,Diesel,Manual,Auto,Big,silver
1086,Audi,Passat,  2007_year ,7/9/2007,,67,2,3740,2231,1437,32204,49,,6/13/2018 14:21,Diesel,Manual,,,brown
1087,Dacia,307,  2014_year ,2/27/2014,,85,2,3840,2203,1498,33250,63,,6/10/2018 14:36,Benzin,Manual,Manual,,purple
1088,Fiat,C5,  2003_year ,1/17/2003,,190,2,3639,2028,1449,326437,139,,9/1/2018 11:25,Diesel,Auto_or_Hybrid,Auto,Big,purple
1089,Porsche,Golf VI,  2006_year ,2/3/2006,,61,1,3623,2266,1490,206136,45,,4/19/2018 11:57,Benzin,Manual,Manual,,brown
1090,Land Rover,C-Max,  2009_year ,6/18/2009,,89,1,3880,2038,1421,77782,66,,5/1/2018 11:55,Benzin,Manual,Auto,,brown
1091,Dacia,307,  2013_year ,6/25/2013,,80,2,3550,2327,1498,51299,59,,6/18/2018 15:59,Benzin,Manual,Auto,,red
1092,Audi,1er,  2004_year ,6/30/2005,,114,2,3564,2334,1497,111859,84,,5/31/2018 16:00,Benzin,Manual,Auto,,black
1093,Kia,Evoque,  2012_year ,6/29/2012,,79,2,3867,2351,1488,57189,58,,5/20/2018 9:17,Benzin,Manual,Manual,Big,white
1094,Citroen,500,  2003_year ,6/10/2003,,162,2,3680,2016,1409,157538,119,,7/28/2018 12:57,Benzin,Manual,Auto,,red
1095,Kia,Evoque,  2007_year ,6/12/2007,,92,2,3640,2108,1488,93211,67,,4/26/2018 13:24,Benzin,Manual,Manual,,brown
1096,Citroen,M-Klasse,  2007_year ,12/20/2007,,230,2,3690,2038,1421,213854,168,,5/3/2018 9:57,Diesel,Manual,Auto,,brown
1097,Fiat,Corsa,  1999_year ,10/8/1999,1,186,2,3533,2008,1776,157627,136,,5/22/2018 17:24,Benzin,Auto_or_Hybrid,Manual,,purple
1098,Land Rover,C-Max,  2014_year ,9/10/2014,1,197,2,4140,1833,1416,81110,144,,6/23/2018 18:06,Benzin,Auto_or_Hybrid,Auto,Big,black
1099,Citroen,500,  2014_year ,3/11/2014,,247,2,4214,1993,1508,77099,182,,8/20/2018 14:19,Diesel,Auto_or_Hybrid,Auto,Big,red
1100,Citroen,207,  2009_year ,6/17/2009,1,206,2,3662,2046,1491,256093,152,,4/23/2018 18:41,Diesel,Auto_or_Hybrid,Auto,Big,silver
1101,Kia,Evoque,  2006_year ,4/12/2006,,72,2,3673,2224,1440,116665,53,,7/18/2018 18:05,Benzin,Manual,Auto,,red
1102,Land Rover,Civic,  2010_year ,6/25/2010,1,273,2,3970,2245,1463,157410,200,,5/9/2018 13:36,Diesel,Auto_or_Hybrid,Auto,Big,red
1103,BMW,CR-V,  2007_year ,7/20/2007,1,253,2,3887,2059,1465,75768,186,,8/12/2018 15:12,Benzin,Auto_or_Hybrid,Auto,Big,purple
1104,Citroen,207,  2003_year ,11/5/2003,,165,2,3622,2147,1445,164982,121,,6/8/2018 10:08,Diesel,Auto_or_Hybrid,Auto,Big,red
1105,Honda,Zafira,  2004_year ,2/23/2004,,125,2,3634,2121,1424,9541,93,,8/10/2018 9:28,Benzin,Manual,Auto,Big,silver
1106,BMW,Twingo,  2008_year ,1/16/2009,1,138,2,3784,2130,1686,250146,101,,6/4/2018 19:51,Diesel,Manual,Manual,,red
1107,BMW,Q5,  2012_year ,5/10/2012,1,286,2,3909,1863,1461,106279,211,,5/11/2018 9:32,Benzin,Manual,Auto,Big,purple
1108,Audi,Passat,  2013_year ,7/26/2013,,88,2,3804,2185,1495,29324,64,,9/17/2018 10:07,Benzin,Manual,Manual,,white
1109,BMW,Twingo,  2009_year ,1/30/2009,1,172,2,3960,2035,1686,108398,126,,6/5/2018 8:31,Benzin,Manual,Auto,Big,red
1110,BMW,5,  2007_year ,12/20/2007,,131,2,3640,2328,1670,210387,96,,8/31/2018 11:53,Diesel,Manual,Auto,Big,red
1111,Citroen,500,  2010_year ,4/21/2010,,187,2,3933,2222,1421,168262,137,,7/30/2018 11:16,Diesel,Auto_or_Hybrid,Auto,Big,brown
1112,BMW,206,  2008_year ,2/2/2009,,81,2,3810,2247,1467,128165,60,,9/22/2018 17:14,Benzin,Manual,Auto,,purple
1113,BMW,Twingo,  2012_year ,4/10/2012,1,155,2,3796,1965,1703,78161,115,,7/16/2018 13:26,Benzin,Manual,Auto,Big,red
1114,Ford,6,  2011_year ,10/28/2011,,99,2,3581,2044,1480,94875,72,,5/19/2018 15:02,Benzin,Manual,Manual,,red
1115,Honda,A3,  2005_year ,8/26/2005,,126,2,3719,2367,1373,171528,91,,7/26/2018 15:20,Benzin,Manual,Auto,,red
1116,Citroen,500,  2003_year ,3/11/2004,,166,2,3761,2214,1369,275023,122,,6/24/2018 16:58,Diesel,Manual,Auto,,red
1117,Kia,Fiesta,  2011_year ,7/7/2011,,110,2,3524,2054,1645,101534,81,,11/14/2018 17:28,Diesel,Manual,Auto,Big,red
1118,Fiat,Octavia,  2007_year ,11/30/2007,,139,2,3506,2034,1593,70662,103,,9/27/2018 11:35,Benzin,Auto_or_Hybrid,Manual,Big,purple
1119,Kia,A4,  2003_year ,9/30/2003,,135,1,3432,2097,1390,140246,99,,10/1/2018 16:28,Benzin,Manual,Manual,,purple
1120,Volkswagen,Tiguan,  2009_year ,10/23/2009,,127,1,3807,2323,1525,148440,94,,6/15/2018 15:29,Benzin,Manual,Manual,,brown
1121,Peugeot,Golf IV,  2011_year ,2/1/2013,,138,2,3746,1951,1645,66690,102,,5/4/2018 18:25,Diesel,Manual,Auto,Big,white
1122,Land Rover,A5,  2008_year ,11/24/2008,,144,2,3724,2156,1436,215522,105,,8/30/2018 10:38,Diesel,Auto_or_Hybrid,Auto,,red
1123,Citroen,M-Klasse,  2007_year ,6/26/2007,,164,2,3743,2186,1421,203448,120,,4/16/2018 12:17,Diesel,Manual,Manual,,brown
1124,Opel,Focus,  2015_year ,2/27/2015,,75,2,3536,2184,1448,36830,56,,10/1/2018 12:58,Benzin,Manual,Manual,Big,red
1125,Fiat,C5,  2005_year ,2/18/2006,,261,2,3770,2301,1449,82142,192,,10/17/2018 15:16,Benzin,Auto_or_Hybrid,Auto,,brown
1126,Citroen,M-Klasse,  2004_year ,2/21/2005,,162,2,3615,2318,1430,109541,119,,5/30/2018 9:55,Benzin,Manual,Auto,Big,brown
1127,BMW,Polo,  2008_year ,8/6/2008,,95,2,3792,2160,1580,132395,69,,5/28/2018 15:41,Diesel,Manual,Auto,,purple
1128,Honda,Zafira,  2003_year ,1/15/2004,,130,2,3509,2010,1424,136601,97,,4/30/2018 8:32,Benzin,Manual,Auto,Mobile,red
1129,Ford,6,  2010_year ,9/20/2010,,105,2,3727,2150,1480,107316,76,,6/5/2018 18:02,Benzin,Manual,Manual,,red
1130,Fiat,C5,  2013_year ,8/14/2013,,299,2,4327,1917,1472,59288,220,,8/4/2018 9:19,Benzin,Auto_or_Hybrid,Auto,Big,brown
1131,Honda,911,  2009_year ,4/21/2009,,79,2,3494,2247,1472,90028,59,,7/6/2018 17:13,Benzin,Manual,Manual,,purple
1132,Honda,911,  2007_year ,6/22/2007,,119,2,3426,2289,1397,161354,88,,8/28/2018 13:56,Benzin,Manual,Manual,,purple
1133,Fiat,Corsa,  2012_year ,7/17/2012,1,223,2,4182,1761,1796,91171,163,,8/30/2018 9:45,Diesel,Auto_or_Hybrid,Auto,Big,red
1134,Suzuki,Touran,  2006_year ,12/22/2006,,113,2,3482,2310,1700,313383,82,,6/20/2018 10:15,Diesel,Manual,Auto,,silver
1135,BMW,Insignia,  2011_year ,10/4/2011,,133,2,3878,1987,1470,161599,98,,11/11/2018 15:18,Diesel,Manual,Manual,,brown
1136,Kia,E-Klasse,  2005_year ,3/10/2006,,109,2,3703,2332,1624,148515,81,,9/9/2018 16:12,Benzin,Manual,Manual,,silver
1137,Seat,X5,  2009_year ,9/15/2010,,161,2,3827,2010,1713,122810,119,,9/23/2018 14:32,Diesel,Manual,Auto,Big,silver
1138,Suzuki,Touran,  2012_year ,7/2/2012,,101,2,3722,2259,1700,179336,75,,6/7/2018 16:53,Diesel,Manual,Auto,,silver
1139,Citroen,B-Klasse,  2005_year ,8/5/2005,1,218,2,3699,1983,1715,299891,160,,5/30/2018 10:01,Diesel,Auto_or_Hybrid,Auto,Big,red
1140,Dacia,Yeti,  2010_year ,12/14/2010,1,158,2,3845,2104,1691,200647,116,,9/9/2018 8:23,Diesel,Manual,Auto,Big,red
1141,Citroen,B-Klasse,  2003_year ,6/27/2003,1,243,2,3664,2251,1707,163191,179,,5/14/2018 10:16,Benzin,Auto_or_Hybrid,Auto,Big,red
1142,Citroen,B-Klasse,  2006_year ,3/23/2006,1,376,2,3606,2046,1688,211845,277,,6/30/2018 10:24,Benzin,Auto_or_Hybrid,Auto,,red
1143,BMW,5,  2004_year ,2/10/2004,,100,2,3511,2352,1635,289622,74,,5/16/2018 9:26,Diesel,Manual,Manual,Mobile,brown
1144,Citroen,B-Klasse,  2010_year ,6/30/2010,1,300,2,4251,1934,1776,35607,221,,11/11/2018 19:09,Benzin,Auto_or_Hybrid,Auto,Big,purple
1145,Land Rover,A5,  2007_year ,9/27/2007,,160,2,3664,2205,1427,129319,117,,5/29/2018 16:34,Diesel,Manual,Auto,Big,red
1146,Audi,RAV 4,  2008_year ,11/28/2008,1,138,2,3679,2094,1710,250400,102,,6/13/2018 8:16,Diesel,Manual,Manual,,red
1147,Honda,911,  2010_year ,12/10/2010,,133,2,3495,2183,1527,143624,98,,4/20/2018 15:19,Benzin,Auto_or_Hybrid,Manual,Big,brown
1148,Kia,Evoque,  2009_year ,11/16/2009,,54,2,3674,2263,1488,96389,39,,6/13/2018 16:05,Benzin,Manual,,,purple
1149,Dacia,Yeti,  2009_year ,9/28/2010,1,143,2,3650,2113,1691,101404,105,,5/13/2018 13:45,Diesel,Manual,Auto,,purple
1150,Citroen,500,  2011_year ,7/11/2011,,339,2,3842,2095,1375,111577,250,,9/6/2018 13:59,Benzin,Auto_or_Hybrid,Auto,Big,gray
1151,Citroen,207,  2005_year ,10/19/2005,,223,2,3630,2151,1491,218838,164,,4/29/2018 18:47,Benzin,Manual,Auto,Big,red
1152,Citroen,500,  1999_year ,10/4/1999,,112,2,3482,2098,1415,114718,82,,4/15/2018 9:28,Benzin,Auto_or_Hybrid,Auto,,yellow
1153,Kia,Evoque,  2006_year ,10/18/2006,,77,2,3633,2089,1488,181878,57,,6/7/2018 18:32,Benzin,Manual,Manual,,brown
1154,Fiat,C-Klasse,  2002_year ,4/25/2002,,149,3,3513,2021,1465,276709,110,,7/25/2018 14:22,Diesel,Auto_or_Hybrid,Auto,Big,yellow
1155,Audi,Sharan,  2012_year ,2/28/2012,,138,2,3734,2042,1684,104417,102,,5/29/2018 10:54,Diesel,Manual,Manual,,red
1156,BMW,Touareg,  2013_year ,7/23/2014,,136,1,3888,2164,1990,87936,100,,5/7/2018 11:36,Diesel,Manual,Manual,,brown
1157,Fiat,Octavia,  2011_year ,9/5/2011,,128,2,3602,2277,1593,95309,94,,6/14/2018 15:25,Benzin,Manual,Manual,,red
1158,Fiat,C5,  2010_year ,8/12/2010,,189,2,3809,1903,1393,63133,138,,8/26/2018 12:48,Benzin,Auto_or_Hybrid,Auto,Big,red
1159,Citroen,500,  2006_year ,7/4/2006,,139,2,3772,2399,1421,246864,103,,9/9/2018 12:10,Diesel,Manual,Auto,,brown
1160,Hyundai,X3,  2004_year ,5/28/2004,1,131,2,3568,2224,1680,238617,97,,8/21/2018 11:06,Diesel,Manual,Auto,,purple
1161,??,5,  2003_year ,4/24/2003,,106,1,3586,2391,1652,196419,79,,4/24/2018 12:43,Benzin,Manual,Manual,,brown
1162,Citroen,500,  2009_year ,6/23/2009,,136,2,3605,2199,1421,84178,100,,5/15/2018 19:22,Benzin,Auto_or_Hybrid,Auto,,beige
1163,Opel,Ibiza,  2012_year ,6/29/2012,,296,2,3900,2137,1423,91040,218,,5/21/2018 17:52,Benzin,Manual,Manual,,red
1164,BMW,Megane,  2013_year ,9/24/2013,,139,2,3898,1888,1452,36274,103,,5/20/2018 9:51,Benzin,Manual,Auto,Big,purple
1165,Citroen,500,  2007_year ,3/13/2007,,214,2,3793,1998,1395,148269,157,,9/20/2018 16:18,Benzin,Auto_or_Hybrid,Auto,Big,purple
1166,Opel,Ibiza,  2011_year ,9/13/2011,,123,2,3753,1958,1534,141409,91,,8/18/2018 10:12,Diesel,Manual,Auto,Big,red
1167,Dacia,Kuga,  2009_year ,12/30/2009,,123,2,3572,2256,1468,127083,91,,7/13/2018 16:00,Benzin,Manual,Manual,,red
1168,Citroen,207,  2006_year ,2/14/2006,,187,2,3577,2108,1468,171245,137,,5/13/2018 12:33,Benzin,Manual,Auto,Big,brown
1169,BMW,Insignia,  2002_year ,2/6/2002,,140,2,3683,2363,1498,259522,103,,4/8/2018 8:36,Benzin,Manual,Auto,,purple
1170,Honda,911,  2007_year ,6/14/2007,,129,1,3784,2133,1397,85612,94,,5/22/2018 16:07,Benzin,Manual,Auto,,silver
1171,BMW,206,  2013_year ,9/4/2014,,190,2,3928,2083,1458,32773,140,,9/7/2018 11:41,Benzin,Manual,Auto,Big,white
1172,Mercedes-Benz,Caddy,  2005_year ,5/9/2005,,52,2,3585,2062,1549,83608,39,,9/15/2018 11:12,Benzin,Auto_or_Hybrid,,,purple
1173,BMW,Insignia,  2005_year ,5/17/2005,,111,2,3513,2063,1472,181533,,,7/23/2018 12:24,Benzin,Manual,Auto,Big,silver
1174,Ford,6,  2013_year ,6/21/2013,,129,2,3652,2023,1470,63258,95,,7/14/2018 8:47,Benzin,Manual,Auto,Big,red
1175,BMW,Q5,  2011_year ,6/1/2011,,115,2,3688,2088,1480,77882,85,,6/4/2018 14:48,Benzin,Manual,Auto,,red
1176,Kia,Fiesta,  2003_year ,5/5/2003,,125,1,3481,2145,1684,63715,92,,4/28/2018 14:08,Benzin,Manual,Manual,,brown
1177,Fiat,Corsa,  2002_year ,11/15/2002,1,154,2,3688,2326,1820,253267,114,,8/22/2018 10:00,Diesel,Auto_or_Hybrid,Auto,,red
1178,Nissan,Superb,  2013_year ,7/30/2013,1,136,2,3954,1862,1685,117015,100,,5/25/2018 16:03,Diesel,Manual,Auto,,brown
1179,Fiat,C-Klasse,  2012_year ,1/11/2013,,146,2,3821,1955,1459,76015,108,,4/20/2018 15:59,Benzin,Manual,Auto,Big,brown
1180,Dacia,Kuga,  2011_year ,12/15/2011,,160,2,3540,2289,1468,191807,118,,5/30/2018 16:50,Diesel,Manual,Manual,Big,silver
1181,Land Rover,C-Max,  2009_year ,11/26/2009,,122,2,3817,1969,1423,119374,90,,7/31/2018 14:39,Benzin,Manual,,,gray
1182,Land Rover,Civic,  2007_year ,6/26/2007,1,228,2,3599,2336,1463,176539,168,,7/20/2018 12:20,Diesel,Auto_or_Hybrid,Auto,Big,silver
1183,Citroen,500,  2003_year ,3/19/2003,,118,2,3598,2460,1409,240138,87,,5/3/2018 12:50,Benzin,Manual,Auto,,red
1184,Kia,E-Klasse,  2004_year ,2/28/2005,,115,2,3505,2056,1624,199192,85,,6/7/2018 19:23,Diesel,Manual,Manual,,silver
1185,Citroen,500,  2004_year ,4/21/2004,,212,2,3743,2061,1409,82430,157,,4/25/2018 9:27,Benzin,Manual,Auto,Big,red
1186,Audi,Passat,  2016_year ,7/27/2016,,63,2,,2090,1495,14535,46,,6/2/2018 10:08,Benzin,Manual,,,white
1187,BMW,Insignia,  2008_year ,2/15/2008,,149,2,3509,2302,1517,113498,110,,10/2/2018 10:19,Diesel,Manual,Manual,,brown
1188,BMW,Mondeo,  2003_year ,5/23/2003,,134,2,3481,2272,1730,202488,99,,6/7/2018 10:12,Diesel,Manual,Auto,,brown
1189,Hyundai,A-Klasse,  2003_year ,3/20/2003,,129,2,3511,2266,1480,93922,95,,7/20/2018 11:30,Benzin,Manual,Auto,,silver
1190,Opel,Focus,  2011_year ,6/21/2011,,79,2,3599,2315,1497,101772,58,,5/29/2018 15:24,Benzin,Manual,Manual,,silver
1191,Peugeot,Golf IV,  2011_year ,5/12/2011,,96,2,3803,1969,1615,73386,70,,4/11/2018 11:43,Diesel,Manual,Manual,,white
1192,Citroen,207,  2012_year ,10/24/2012,1,265,2,3896,2134,1464,134979,195,,7/1/2018 11:22,Diesel,Auto_or_Hybrid,Auto,Big,red
1193,Dacia,Kuga,  2014_year ,1/5/2015,1,198,1,3671,2154,1531,201051,145,,4/27/2018 18:00,Diesel,Auto_or_Hybrid,Auto,Big,white
1194,BMW,Insignia,  2008_year ,2/7/2008,,155,2,3622,2242,1517,251380,114,,7/8/2018 13:12,Diesel,Manual,Auto,Mobile,brown
1195,Fiat,C-Klasse,  2013_year ,9/26/2013,,149,2,3824,2274,1459,166070,110,,7/3/2018 16:13,Diesel,Manual,Auto,Big,silver
1196,Citroen,207,  2004_year ,3/23/2005,,198,2,3877,2241,1468,136887,146,,9/6/2018 11:27,Benzin,Manual,Auto,,silver
1197,Land Rover,Civic,  2005_year ,6/2/2005,,195,2,3673,2062,1463,264767,143,,5/26/2018 16:09,Benzin,Manual,Auto,,silver
1198,BMW,5,  2009_year ,6/9/2009,,104,2,3669,2139,1635,183010,76,,6/24/2018 16:35,Diesel,Manual,Auto,,brown
1199,Citroen,M-Klasse,  2007_year ,5/25/2007,,156,2,3735,2151,1421,168632,114,,5/30/2018 10:09,Benzin,Manual,Auto,,red
1200,Kia,E-Klasse,  2004_year ,10/21/2004,,77,1,3716,2041,1624,177372,57,,10/5/2018 9:25,Benzin,Manual,Auto,,brown
1201,Kia,A4,  2005_year ,2/22/2005,,119,2,3685,2441,1500,222188,87,,8/5/2018 15:33,Benzin,Manual,Manual,,purple
1202,Kia,Fiesta,  2007_year ,6/11/2007,,122,2,3587,2023,1645,131813,90,,4/5/2018 18:38,Benzin,Manual,Manual,,brown
1203,Fiat,Octavia,  2012_year ,3/29/2012,,86,2,3639,2221,1593,95768,64,,5/22/2018 16:42,Benzin,Manual,Manual,Big,white
1204,Fiat,Octavia,  2003_year ,11/12/2003,,78,2,3492,2234,1575,124134,57,,5/12/2018 9:40,Benzin,Auto_or_Hybrid,Manual,,purple
1205,Audi,Avensis,  2011_year ,3/30/2011,,207,2,3756,1925,1548,139644,152,,6/3/2018 17:31,Diesel,Manual,Auto,Big,brown
1206,Seat,Grande Punto,  2004_year ,6/16/2004,,263,2,3750,2366,1488,175503,194,,8/29/2018 14:01,Benzin,Auto_or_Hybrid,Auto,,brown
1207,Kia,A4,  2013_year ,11/27/2013,,107,2,3795,2252,1510,34576,78,,8/16/2018 14:50,Benzin,Manual,Auto,,brown
1208,BMW,Q5,  2009_year ,11/27/2009,,75,2,3516,2183,1480,79366,55,,6/28/2018 12:34,Benzin,Manual,Manual,,red
